"","row_code","scientificName","year","lon","lat","presence","bio1_mean_annual_temp","bio12_annual_precip","farming","forest_formation","other_non_vegetated","flooded_forest","river_lake_ocean","urban","non_forested_natural","grassland","wetland","mining","savannah_formation","mangrove","not_observed","glacier","fold"
"133",133,"Mazama nemorivaga",2016,-54.314221,5.264663,0,25.8500003814697,2266.97752285399,0,0.975440035,0,0,0,0,0,0,0.009125564,0,0,0,0,0,2
"134",134,"Sciurus igniventris",1967,-65.228721,2.450963,0,24.868867502173,2766.56136945669,0,0.978682652,0,0,0,0,0,0,0,0,0,0,0,0,2
"135",135,"Lophostoma schulzi",1999,-60.497721,7.372863,0,25.1290127053795,2018.43659688229,0,0.990299392,0,0,0,0,0,0,0,0,0,0,0,0,2
"136",136,"Nasua nasua",2021,-76.682721,1.205963,0,21.1573234353184,4124.00513199735,0.596429771,0.3855426,0,0,0,0,0,0,0,0,0,0,0,0,1
"137",137,"Isothrix bistriata",2021,-66.100221,-11.028237,0,25.75,1852.36475265125,0.091039393,0.072901419,0,0.817571406,0.003072047,0,0,0.003898947,0,0,0,0,0,0,3
"138",138,"Lophostoma silvicolum",2018,-75.255121,1.745463,0,25.6876817067464,4036.85921427409,0.856527599,0.112180874,0,0,0,0,0,0,0,0,0,0,0,0,1
"139",139,"Trinycteris nicefori",2018,-73.404221,-3.940037,0,25.4652379800465,3330.33051394628,0.010606354,0.970367625,0,0,0,0,0,0,0,0,0,0,0,0,1
"140",140,"Pteronura brasiliensis",2017,-59.916721,-2.861037,0,26.099181305818,2314.13204259595,0.160515465,0.817847406,0,0,0,0,0,0,0,0,0,0,0,0,2
"141",141,"Diclidurus scutatus",1968,-61.767621,4.326763,0,24.0419409660878,2503.0568229707,0,0.256055534,0,0,0,0,0,0.73402851,0,0,0,0,0,0,2
"142",142,"Saimiri cassiquiarensis",2019,-77.521021,-1.068237,0,24.0087601423264,4579.4953918457,0.015977098,0.970636619,0,0,0,0,0,0,0,0,0,0,0,0,1
"143",143,"Sciurus spadiceus",2022,-67.868121,-9.957537,0,25.5465494345042,1735.43370573186,0.078334862,0.352020349,0,0,0.044919494,0.513208709,0,0.020236088,0,0,0,0,0,0,3
"144",144,"Aotus vociferans",1941,-75.719921,1.479863,0,25.0499992370605,4289.93211877593,0.944551953,0.001678027,0.010468875,0,0.006255794,0.023124259,0,0,0,0,0,0,0,0,1
